date	total	Venture_qtty	MiningBarge_qtty	Exhumer_qtty	Orca_qtty	Freighter_qtty	JumpFreighter_qtty
2016-10	26119	667	1961	756	63	190	32
2016-11	32096	1990	1750	852	74	151	10
2016-12	42425	2248	2272	1182	87	163	24
2017-01	37939	1462	2129	969	121	196	34
2017-02	43892	1467	1650	661	129	324	54
2017-03	35127	1698	1944	806	109	188	50
2017-04	32263	1239	1672	728	97	180	39
2017-05	27673	1444	1243	583	88	110	26
2017-06	26209	1118	1117	486	98	136	48
2017-07	20366	1017	838	327	104	163	46
2017-08	22703	904	881	360	102	105	38
2017-09	21139	892	1193	370	93	132	23
2017-10	24289	1277	1272	507	84	134	50
2017-11	24697	1301	1153	465	126	166	57
2017-12	31417	1278	1219	452	107	109	45
2018-01	30530	1033	1163	562	111	232	68
2018-02	26767	827	1084	459	131	251	62
2018-03	46955	1040	1344	634	166	349	41
2018-04	28262	1285	1322	588	155	220	60
2018-05	28742	1260	1352	487	170	185	18
2018-06	40652	983	1368	494	146	244	49
2018-07	22910	976	1057	494	124	164	66
2018-08	24717	1101	1083	483	115	72	43
2018-09	23345	1006	898	394	108	155	40
2018-10	27032	870	1081	417	101	184	69
2018-11	23931	844	981	430	117	102	11
2018-12	25317	856	842	378	107	117	54
2019-01	28717	947	1029	535	91	210	33
2019-02	39111	983	859	359	120	247	25
2019-03	23641	876	786	368	120	121	33
2019-04	22923	905	838	364	110	113	18
2019-05	21419	820	853	360	81	74	45
2019-06	19783	631	916	377	73	52	51
2019-07	22789	905	1066	514	100	94	18
2019-08	24062	1112	1056	420	107	77	10
2019-09	17365	575	720	269	50	56	9
2019-10	22098	644	812	303	77	40	18
2019-11	24923	734	699	348	76	33	22
2020-01	30066	1010	919	392	98	105	9
2020-02	28028	1114	1019	357	100	108	17
2020-03	111561	11102	790	381	83	80	33
2020-04	86942	11000	1548	662	105	60	15
2020-05	32860	1275	1274	640	128	67	20
2020-06	43403	1781	1651	537	119	78	7
2020-07	24143	1030	1305	594	59	71	62
2020-08	26363	1115	1308	526	95	125	38
2020-09	23907	1146	1555	569	68	64	5
2020-10	31013	1043	1630	602	103	106	12
2020-11	29840	912	1443	529	102	85	9
2020-12	28017	991	966	433	88	112	3
2021-02	28711	1009	1348	511	114	97	4
2021-03	32590	1004	1624	724	150	87	9
2021-04	28520	1140	1602	644	121	136	9
2021-05	25833	746	1462	650	137	65	6
2021-06	20368	580	1263	431	106	88	15
2021-07	24590	543	734	301	94	133	10
2021-08	26596	493	1083	390	80	179	46
2021-09	24009	575	1113	435	83	111	13
2021-10	24466	803	1267	404	91	97	19
2021-11	22608	919	1155	475	94	77	7
2021-12	23824	586	690	221	131	133	6
2022-01	19661	683	615	266	61	48	5
2022-02	19846	598	588	292	92	85	8
2022-03	24296	1391	796	302	61	36	14
2022-04	19086	715	527	249	119	76	5
2022-05	18602	694	565	293	71	77	2
2022-06	16443	459	580	340	40	29	7
2022-07	31626	695	543	306	64	50	5
2022-08	27538	638	439	289	54	30	2
2022-09	26580	522	397	291	40	21	1
2022-10	31413	745	436	307	133	81	6
2022-11	29183	651	556	214	51	39	4
2022-12	36389	479	459	203	28	64	2
2023-01	43942	601	556	286	69	99	4
2023-02	41552	505	443	294	54	63	16
2023-03	40062	817	451	238	60	93	29
2023-04	40074	576	462	210	53	104	6
2023-05	38964	637	426	287	58	201	11
2023-06	43921	458	387	282	59	138	54
2023-07	41654	427	377	230	52	101	19
2023-08	49341	368	357	284	44	72	28
2023-09	43069	429	352	352	28	45	16
2023-10	50633	621	310	368	78	159	26
2023-11	69385	734	379	367	62	178	21
2023-12	53899	458	523	422	55	172	19
